Date,KWH
11/23/2011,90.39
11/24/2011,213.41
11/25/2011,303.99
11/26/2011,420.98
11/27/2011,444.88
11/28/2011,500.69
11/29/2011,584.32
11/30/2011,669.83
12/1/2011,848.95
12/2/2011,1014.59
12/3/2011,1185.83
12/4/2011,1337.94
12/5/2011,1336.82
12/6/2011,1540.89
12/7/2011,1655.18
12/8/2011,1924.70
12/9/2011,2163.81
12/10/2011,2539.39
12/11/2011,2763.58
12/12/2011,2581.62
12/13/2011,2678.47
12/14/2011,2875.12
12/15/2011,3158.80
12/16/2011,3409.02
12/17/2011,3505.44
12/18/2011,3694.70
12/19/2011,3551.95
12/20/2011,3322.16
12/21/2011,3196.15
12/22/2011,3072.96
12/23/2011,3190.39
12/24/2011,3337.29
12/25/2011,3323.40
12/26/2011,2876.08
12/27/2011,3035.82
12/28/2011,3099.91
12/29/2011,3249.61
12/30/2011,3320.57
12/31/2011,3355.90
1/1/2012,3315.09
1/2/2012,3326.72
1/3/2012,3403.32
1/4/2012,3398.32
1/5/2012,3368.50
1/6/2012,3330.81
1/7/2012,3320.60
1/8/2012,3517.01
1/9/2012,3201.64
1/10/2012,3180.00
1/11/2012,3170.16
1/12/2012,3153.31
1/13/2012,3309.35
1/14/2012,3506.62
1/15/2012,3601.14
1/16/2012,3449.55
1/17/2012,3411.22
1/18/2012,3292.47
1/19/2012,3191.06
1/20/2012,3270.96
1/21/2012,3348.98
1/22/2012,3560.45
1/23/2012,3314.60
1/24/2012,3316.12
1/25/2012,3248.01
1/26/2012,3166.99
1/27/2012,3255.33
1/28/2012,3424.06
1/29/2012,3626.15
1/30/2012,3418.74
1/31/2012,3448.89
2/1/2012,3422.66
2/2/2012,3592.12
2/3/2012,3610.90
2/4/2012,3760.03
2/5/2012,4018.24
2/6/2012,3539.53
2/7/2012,3462.94
2/8/2012,3840.65
2/9/2012,3532.94
2/10/2012,3634.54
2/11/2012,3652.74
2/12/2012,3843.10
2/13/2012,3477.02
2/14/2012,3310.54
2/15/2012,3257.16
2/16/2012,3090.74
2/17/2012,3091.37
2/18/2012,3306.08
2/19/2012,3482.72
2/20/2012,3331.98
2/21/2012,3084.25
2/22/2012,3147.52
2/23/2012,2941.00
2/24/2012,2930.42
2/25/2012,3058.72
2/26/2012,3216.58
2/27/2012,3091.64
2/28/2012,2901.97
2/29/2012,2959.45
3/1/2012,2926.64
3/2/2012,3232.63
3/3/2012,3298.71
3/4/2012,3708.83
3/5/2012,3437.14
3/6/2012,3701.68
3/7/2012,3817.67
3/8/2012,3731.84
3/9/2012,3874.68
3/10/2012,3989.43
3/11/2012,4010.44
3/12/2012,3781.32
3/13/2012,3971.43
3/14/2012,4032.08
3/15/2012,4070.80
3/16/2012,4181.84
3/17/2012,4441.50
3/18/2012,4552.43
3/19/2012,4067.60
3/20/2012,3962.95
3/21/2012,4026.11
3/22/2012,4152.47
3/23/2012,4517.83
3/24/2012,4675.11
3/25/2012,5076.51
3/26/2012,4732.45
3/27/2012,4655.75
3/28/2012,4742.31
3/29/2012,4712.98
3/30/2012,4650.73
3/31/2012,5270.94
4/1/2012,5328.48
4/2/2012,5033.99
4/3/2012,5155.16
4/4/2012,5203.01
4/5/2012,5439.67
4/6/2012,5300.01
4/7/2012,5088.54
4/8/2012,5265.36
4/9/2012,5377.07
4/10/2012,5069.81
4/11/2012,5554.87
4/12/2012,5939.85
4/13/2012,6289.85
4/14/2012,6621.80
4/15/2012,7196.06
4/16/2012,6722.59
4/17/2012,6909.32
4/18/2012,7250.46
4/19/2012,7621.48
4/20/2012,7755.15
4/21/2012,7784.32
4/22/2012,8035.17
4/23/2012,7921.55
4/24/2012,7757.68
4/25/2012,8161.98
4/26/2012,8221.07
4/27/2012,8535.96
4/28/2012,9594.17
4/29/2012,10328.49
4/30/2012,8518.10
5/1/2012,8624.78
5/2/2012,9293.19
5/3/2012,10300.06
5/4/2012,10332.90
5/5/2012,10573.27
5/6/2012,11124.64
5/7/2012,10883.26
5/8/2012,10087.29
5/9/2012,10922.39
5/10/2012,10723.43
5/11/2012,10383.53
5/12/2012,10924.11
5/13/2012,11344.53
5/14/2012,11754.34
5/15/2012,12266.17
5/16/2012,10338.73
5/17/2012,12094.90
5/18/2012,13005.64
5/19/2012,12763.67
5/20/2012,14065.55
5/21/2012,12742.73
5/22/2012,12480.26
5/23/2012,12312.73
5/24/2012,12395.54
5/25/2012,12326.44
5/26/2012,12342.39
5/27/2012,13016.73
5/28/2012,12643.91
5/29/2012,12378.32
5/30/2012,12389.57
5/31/2012,12535.19
6/1/2012,12586.07
6/2/2012,12937.78
6/3/2012,14160.64
6/4/2012,13474.92
6/5/2012,14111.11
6/6/2012,12986.37
6/7/2012,13506.48
6/8/2012,13548.72
6/9/2012,13116.72
6/10/2012,14018.29
6/11/2012,14332.50
6/12/2012,13948.46
6/13/2012,10909.65
6/14/2012,12224.00
6/15/2012,10873.62
6/16/2012,11315.97
6/17/2012,13564.07
6/18/2012,12880.56
6/19/2012,12388.94
6/20/2012,12293.86
6/21/2012,12865.79
6/22/2012,12929.02
6/23/2012,13184.49
6/24/2012,13642.40
6/25/2012,12662.08
6/26/2012,12585.55
6/27/2012,12746.13
6/28/2012,12563.32
6/29/2012,12541.41
6/30/2012,12516.06
7/1/2012,13328.81
7/2/2012,13059.21
7/3/2012,12885.66
7/4/2012,12648.97
7/5/2012,12393.87
7/6/2012,12605.67
7/7/2012,12974.85
7/8/2012,13796.73
7/9/2012,12972.90
7/10/2012,12638.95
7/11/2012,12563.88
7/12/2012,12634.49
7/13/2012,12613.81
7/14/2012,13021.01
7/15/2012,13183.87
7/16/2012,12864.48
7/17/2012,12420.47
7/18/2012,12507.49
7/19/2012,12599.71
7/20/2012,12644.09
7/21/2012,12480.23
7/22/2012,12681.12
7/23/2012,12505.13
7/24/2012,12400.87
7/25/2012,12504.48
7/26/2012,12284.92
7/27/2012,12656.58
7/28/2012,12486.78
7/29/2012,13290.37
7/30/2012,12541.38
7/31/2012,12691.87
8/1/2012,12467.91
8/2/2012,12337.25
8/3/2012,12239.13
8/4/2012,12463.48
8/5/2012,13289.52
8/6/2012,12613.30
8/7/2012,12556.02
8/8/2012,12346.57
8/9/2012,12283.19
8/10/2012,12333.65
8/11/2012,12275.59
8/12/2012,13003.81
8/13/2012,12440.07
8/14/2012,12009.80
8/15/2012,12428.20
8/16/2012,12125.76
8/17/2012,11895.00
8/18/2012,12374.61
8/19/2012,13281.28
8/20/2012,12626.14
8/21/2012,12262.48
8/22/2012,12165.30
8/23/2012,12114.55
8/24/2012,12159.81
8/25/2012,12441.49
8/26/2012,12483.74
8/27/2012,12693.09
8/28/2012,12370.90
8/29/2012,12621.05
8/30/2012,12689.79
8/31/2012,12420.22
9/1/2012,12673.49
9/2/2012,13759.09
9/3/2012,12814.12
9/4/2012,12695.58
9/5/2012,12474.63
9/6/2012,12280.22
9/7/2012,12165.12
9/8/2012,12570.44
9/9/2012,13160.28
9/10/2012,13061.11
9/11/2012,12682.05
9/12/2012,12596.12
9/13/2012,12609.41
9/14/2012,12473.44
9/15/2012,12776.84
9/16/2012,13804.25
9/17/2012,13007.58
9/18/2012,12727.03
9/19/2012,13085.14
9/20/2012,12935.98
9/21/2012,13235.20
9/22/2012,13529.15
9/23/2012,15710.21
9/24/2012,14335.14
9/25/2012,13832.31
9/26/2012,14071.20
9/27/2012,13829.78
9/28/2012,13876.61
9/29/2012,13915.23
9/30/2012,15027.89
10/1/2012,14179.56
10/2/2012,13919.76
10/3/2012,13973.39
10/4/2012,14056.16
10/5/2012,14204.66
10/6/2012,14212.62
10/7/2012,15126.88
10/8/2012,15088.38
10/9/2012,14458.14
10/10/2012,14318.90
10/11/2012,14926.05
10/12/2012,14383.68
10/13/2012,14994.86
10/14/2012,15925.64
10/15/2012,15271.49
10/16/2012,14655.40
10/17/2012,14586.81
10/18/2012,14386.85
10/19/2012,15121.90
10/20/2012,15352.57
10/21/2012,16414.42
10/22/2012,15264.09
10/23/2012,15127.74
10/24/2012,14568.59
10/25/2012,15021.62
10/26/2012,16088.90
10/27/2012,16762.65
10/28/2012,17761.26
10/29/2012,16491.77
10/30/2012,15998.53
10/31/2012,15978.07
11/1/2012,16000.76
11/2/2012,16260.50
11/3/2012,16496.80
11/4/2012,18590.56
11/5/2012,16667.61
11/6/2012,16972.48
11/7/2012,16455.27
11/8/2012,16097.93
11/9/2012,15820.61
11/10/2012,16735.34
11/11/2012,17753.25
11/12/2012,16743.32
11/13/2012,15807.25
11/14/2012,15580.57
11/15/2012,16278.76
11/16/2012,16478.14
11/17/2012,16586.78
11/18/2012,17526.09
11/19/2012,16645.39
11/20/2012,16623.98
11/21/2012,16721.63
11/22/2012,16167.42
11/23/2012,16089.10
11/24/2012,17616.79
11/25/2012,17879.45
11/26/2012,16946.06
11/27/2012,17044.53
11/28/2012,17648.77
11/29/2012,17784.20
11/30/2012,18049.39
12/1/2012,19011.22
12/2/2012,19897.57
12/3/2012,18172.74
12/4/2012,17829.19
12/5/2012,18486.22
12/6/2012,19134.28
12/7/2012,18818.44
12/8/2012,18667.21
12/9/2012,19797.83
12/10/2012,18423.18
12/11/2012,17412.47
12/12/2012,19543.45
12/13/2012,19473.16
12/14/2012,19152.55
12/15/2012,18465.28
12/16/2012,18856.95
12/17/2012,17734.73
12/18/2012,17566.81
12/19/2012,18241.00
12/20/2012,18257.94
12/21/2012,17690.36
12/22/2012,17855.60
12/23/2012,17621.88
12/24/2012,17713.35
12/25/2012,18665.45
12/26/2012,17483.32
12/27/2012,17549.12
12/28/2012,17352.34
12/29/2012,17217.38
12/30/2012,17464.13
12/31/2012,17296.18
1/1/2013,17374.52
1/2/2013,17505.03
1/3/2013,16917.75
1/4/2013,17001.50
1/5/2013,17127.53
1/6/2013,18322.72
1/7/2013,17170.51
1/8/2013,16617.86
1/9/2013,16454.68
1/10/2013,17848.42
1/11/2013,17798.12
1/12/2013,19114.60
1/13/2013,20005.35
1/14/2013,19424.20
1/15/2013,18889.28
1/16/2013,19367.44
1/17/2013,19483.18
1/18/2013,20463.13
1/19/2013,21384.28
1/20/2013,21899.07
1/21/2013,20284.14
1/22/2013,19757.52
1/23/2013,19442.84
1/24/2013,19406.40
1/25/2013,19407.40
1/26/2013,18652.59
1/27/2013,18999.75
1/28/2013,18020.02
1/29/2013,16893.03
1/30/2013,16186.19
1/31/2013,16549.72
2/1/2013,16767.60
2/2/2013,17855.05
2/3/2013,19369.57
2/4/2013,17223.85
2/5/2013,17731.12
2/6/2013,17925.34
2/7/2013,18042.86
2/8/2013,17690.89
2/9/2013,18514.33
2/10/2013,19455.50
2/11/2013,19003.30
2/12/2013,18995.52
2/13/2013,18602.06
2/14/2013,17517.35
2/15/2013,16925.60
2/16/2013,16677.66
2/17/2013,17409.14
2/18/2013,16924.64
2/19/2013,16716.34
2/20/2013,17197.82
2/21/2013,18593.79
2/22/2013,18568.36
2/23/2013,18836.08
2/24/2013,19880.57
2/25/2013,18946.14
2/26/2013,18144.02
2/27/2013,17175.00
2/28/2013,17249.65
3/1/2013,17249.95
3/2/2013,17601.31
3/3/2013,18401.91
3/4/2013,16465.52
3/5/2013,15568.89
3/6/2013,15305.33
3/7/2013,15574.54
3/8/2013,15630.22
3/9/2013,16270.09
3/10/2013,18214.84
3/11/2013,18593.14
3/12/2013,18317.79
3/13/2013,17304.15
3/14/2013,16786.95
3/15/2013,16445.14
3/16/2013,17080.94
3/17/2013,17778.17
3/18/2013,16926.31
3/19/2013,16285.08
3/20/2013,16632.06
3/21/2013,16332.78
3/22/2013,16965.70
3/23/2013,18688.58
3/24/2013,20339.52
3/25/2013,18380.27
3/26/2013,18395.65
3/27/2013,17898.03
3/28/2013,17300.67
3/29/2013,17328.21
3/30/2013,16665.22
3/31/2013,17103.81
4/1/2013,17211.14
4/2/2013,16022.56
4/3/2013,17026.40
4/4/2013,17421.18
4/5/2013,16758.08
4/6/2013,15779.91
4/7/2013,16076.14
4/8/2013,15186.57
4/9/2013,15581.19
4/10/2013,14852.07
4/11/2013,15101.77
4/12/2013,14733.76
4/13/2013,14757.53
4/14/2013,14290.00
4/15/2013,13370.79
4/16/2013,13253.23
4/17/2013,13113.44
4/18/2013,13273.91
4/19/2013,13530.14
4/20/2013,13474.24
4/21/2013,14216.67
4/22/2013,13399.40
4/23/2013,12399.16
4/24/2013,12360.16
4/25/2013,11868.36
4/26/2013,12466.48
