Date,KWH
20111123,90.39
20111124,213.41
20111125,303.99
20111126,420.98
20111127,444.88
20111128,500.69
20111129,584.32
20111130,669.83
20111201,848.95
20111202,1014.59
20111203,1185.83
20111204,1337.94
20111205,1336.82
20111206,1540.89
20111207,1655.18
20111208,1924.7
20111209,2163.81
20111210,2539.39
20111211,2763.58
20111212,2581.62
20111213,2678.47
20111214,2875.12
20111215,3158.8
20111216,3409.02
20111217,3505.44
20111218,3694.7
20111219,3551.95
20111220,3322.16
20111221,3196.15
20111222,3072.96
20111223,3190.39
20111224,3337.29
20111225,3323.4
20111226,2876.08
20111227,3035.82
20111228,3099.91
20111229,3249.61
20111230,3320.57
20111231,3355.9
20120101,3315.09
20120102,3326.72
20120103,3403.32
20120104,3398.32
20120105,3368.5
20120106,3330.81
20120107,3320.6
20120108,3517.01
20120109,3201.64
20120110,3180
20120111,3170.16
20120112,3153.31
20120113,3309.35
20120114,3506.62
20120115,3601.14
20120116,3449.55
20120117,3411.22
20120118,3292.47
20120119,3191.06
20120120,3270.96
20120121,3348.98
20120122,3560.45
20120123,3314.6
20120124,3316.12
20120125,3248.01
20120126,3166.99
20120127,3255.33
20120128,3424.06
20120129,3626.15
20120130,3418.74
20120131,3448.89
20120201,3422.66
20120202,3592.12
20120203,3610.9
20120204,3760.03
20120205,4018.24
20120206,3539.53
20120207,3462.94
20120208,3840.65
20120209,3532.94
20120210,3634.54
20120211,3652.74
20120212,3843.1
20120213,3477.02
20120214,3310.54
20120215,3257.16
20120216,3090.74
20120217,3091.37
20120218,3306.08
20120219,3482.72
20120220,3331.98
20120221,3084.25
20120222,3147.52
20120223,2941
20120224,2930.42
20120225,3058.72
20120226,3216.58
20120227,3091.64
20120228,2901.97
20120229,2959.45
20120301,2926.64
20120302,3232.63
20120303,3298.71
20120304,3708.83
20120305,3437.14
20120306,3701.68
20120307,3817.67
20120308,3731.84
20120309,3874.68
20120310,3989.43
20120311,4010.44
20120312,3781.32
20120313,3971.43
20120314,4032.08
20120315,4070.8
20120316,4181.84
20120317,4441.5
20120318,4552.43
20120319,4067.6
20120320,3962.95
20120321,4026.11
20120322,4152.47
20120323,4517.83
20120324,4675.11
20120325,5076.51
20120326,4732.45
20120327,4655.75
20120328,4742.31
20120329,4712.98
20120330,4650.73
20120331,5270.94
20120401,5328.48
20120402,5033.99
20120403,5155.16
20120404,5203.01
20120405,5439.67
20120406,5300.01
20120407,5088.54
20120408,5265.36
20120409,5377.07
20120410,5069.81
20120411,5554.87
20120412,5939.85
20120413,6289.85
20120414,6621.8
20120415,7196.06
20120416,6722.59
20120417,6909.32
20120418,7250.46
20120419,7621.48
20120420,7755.15
